Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
16-136,"Rock Salmon/Dogfish, in batter, fried in dripping",Samples as fried in retail blend oil 16-138 fatty acids calculated,JA,"LGC, Analytical survey of fish and fish products, 1991-1992",51.3,14.7,21.9,10.3,295,1225,10.3,0.01,0.01,NULL,0.01,0.01,0.01,0.01,0.0,0.4,NULL,9.60,8.10,3.10,NULL,NULL,160,230,44,18,190,0.50,0.08,0.4,170,0.14,22,NULL,NULL,NULL,NULL,NULL,NULL,0.07,0.08,3.2,2.8,0.21,NULL,4,0.57,12.0,0.01
16-137,"Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones",Calculated from fried in dripping 16-136,JA,"LGC, Analytical survey of fish and fish products, 1991-1992",47.7,13.7,20.4,9.6,274,1139,9.6,0.01,0.01,NULL,0.01,0.01,0.01,0.01,0.0,0.4,NULL,8.90,7.60,2.90,NULL,NULL,150,210,41,17,180,0.50,0.07,0.4,160,0.13,20,NULL,NULL,NULL,NULL,NULL,NULL,0.07,0.07,3.0,2.6,0.20,NULL,4,0.53,11.0,0.01
16-138,"Rock Salmon/Dogfish, in batter, fried in retail blend oil","10 samples purchased from fish and chip shops, fatty acids calculated",JA,"LGC, Analytical survey of fish and fish products, 1991-1992",51.3,14.7,21.9,10.3,295,1225,10.3,0.01,0.01,NULL,0.01,0.01,0.01,0.01,NULL,0.4,NULL,5.30,9.30,6.20,NULL,NULL,160,230,44,18,190,0.50,0.08,0.4,170,0.14,22,NULL,94,0.01,NULL,NULL,NULL,0.07,0.08,3.2,2.8,0.21,NULL,4,0.57,12.0,0.01
16-139,"Rock Salmon/Dogfish, in batter, fried in retail blend oil, weighed with bones",Calculated from fried in retail blend oil,JA,"LGC, Analytical survey of fish and fish products, 1991-1992",47.7,13.7,20.4,9.6,274,1139,9.6,0.01,0.01,NULL,0.01,0.01,0.01,0.01,NULL,0.4,NULL,4.90,8.60,5.80,NULL,NULL,150,210,41,17,180,0.50,0.07,0.4,160,0.13,20,NULL,87,0.01,NULL,NULL,NULL,0.07,0.07,3.0,2.6,0.20,NULL,4,0.53,11.0,0.01
16-140,"Rock Salmon/Dogfish, in batter, fried in sunflower oil","Samples as fried in retail blend oil, fatty acids calculated",JA,"LGC, Analytical survey of fish and fish products, 1991-1992",51.3,14.7,21.9,10.3,295,1225,10.3,0.01,0.01,NULL,0.01,0.01,0.01,0.01,NULL,0.4,NULL,3.10,5.60,12.00,NULL,NULL,160,230,44,18,190,0.50,0.08,0.4,170,0.14,22,NULL,94,0.01,NULL,NULL,NULL,0.07,0.08,3.2,2.8,0.21,NULL,4,0.57,12.0,0.01
16-141,"Rock Salmon/Dogfish, in batter, fried in sunflower oil, weighed with bones",Calculated from fried in sunflower oil,JA,"LGC, Analytical survey of fish and fish products, 1991-1992",47.7,13.7,20.4,9.6,274,1139,9.6,0.01,0.01,NULL,0.01,0.01,0.01,0.01,NULL,0.4,NULL,2.90,5.20,11.20,NULL,NULL,150,210,41,17,180,0.50,0.07,0.4,160,0.13,20,NULL,87,0.01,NULL,NULL,NULL,0.07,0.07,3.0,2.6,0.20,NULL,4,0.53,11.0,0.01
16-133,"Rock Salmon/Dogfish, raw",Data from Seafish Industry Authority and literature sources,JA,"Fish and Fish Products Supplement, 1993",68.3,16.6,9.7,0.0,154,641,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,1.40,2.60,2.70,NULL,76.0,120,290,8,21,230,0.90,0.04,0.4,NULL,0.02,55,NULL,190,0.01,9.1,NULL,NULL,0.17,0.29,2.9,3.1,0.37,5.0,3,0.75,NULL,0.01
13-522,"Rocket, raw","19 samples, autumn and winter, UK grown and imported",DG,"DH, Nutrient analysis of fruit and vegetables, 2013",93.1,3.6,0.4,0.01,18,74,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,1.3,1.7,0.07,0.01,0.21,0.00,0.0,30,326,216,28,44,1.26,0.19,0.4,93,0.41,2,5,0,1141,0.0,0.22,NULL,0.19,0.18,0.7,0.9,0.08,0.0,88,0.29,1.3,20
16-301,"Roe, cod, hard, coated in batter, fried",7 samples from fish and chip shops,JR,"LGC, Analytical survey of fish and fish products, 1991-1992",64.4,12.4,11.8,8.9,189,790,8.9,0.01,0.01,NULL,0.01,0.01,0.01,0.01,NULL,0.2,NULL,NULL,NULL,NULL,NULL,NULL,510,270,67,27,210,1.40,0.13,1.5,790,0.44,25,NULL,NULL,NULL,NULL,NULL,NULL,0.09,0.22,0.6,2.3,0.08,NULL,22,1.57,8.0,0.01
16-299,"Roe, cod, hard, raw",6 samples from assorted outlets,JR,"LGC, Fish and fish products, 1986-1987",73.7,21.7,1.9,0.0,104,439,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,0.40,0.40,0.60,0.00,330.0,110,170,11,9,320,1.00,0.24,3.5,220,0.12,NULL,NULL,79,0,18.0,6.20,NULL,0.78,0.49,1.0,4.1,0.32,10.0,NULL,3.00,13.0,0.01
16-302,"Roe, herring, soft, raw",10 samples from assorted outlets,JR,"LGC, Nutritional survey fish and fish products, 1986-1987",80.0,16.8,2.6,0.0,91,382,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,0.50,0.60,0.70,0.00,575.0,120,200,5,5,620,0.50,0.07,0.8,180,0.01,NULL,NULL,NULL,0,4.0,2.80,NULL,0.01,0.29,1.3,3.1,NULL,5.0,NULL,0.49,NULL,0.01
16-132,"Rohu, raw",Literature sources. Imported frozen from Bangladesh,JA,Gopalan et al (1980) Nutritive value of Indian foods,76.7,16.6,1.4,0.0,79,334,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,100,290,NULL,13,180,1.00,0.13,NULL,NULL,NULL,NULL,NULL,0.01,0.01,0.01,NULL,NULL,0.05,0.07,0.7,3.1,NULL,5.0,NULL,NULL,NULL,0.01
13-882,"Rosemary, dried",Literature sources,H,"Reviewed 2013. Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2; and data from USDA SR26, 2013",9.3,4.9,15.2,46.4,331,1387,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,42.6,7.37,3.01,2.34,0.00,0.0,50,950,1280,220,70,29.30,0.55,3.2,NULL,1.87,5,NULL,0,1880,0.0,NULL,NULL,0.51,0.43,1.0,NULL,1.74,0.0,307,NULL,NULL,61
13-892,"Rosemary, fresh",7 samples and calculation from dried,H,"LGC, Fruit and vegetables, 1989-1990; and data calculated from USDA SR26, 2013",73.6,1.4,4.4,13.5,99,416,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,12.4,2.15,0.88,0.68,0.00,0.0,15,280,370,64,20,8.50,NULL,0.9,NULL,0.54,1,NULL,0,550,0.0,NULL,NULL,0.10,0.13,0.3,NULL,0.51,0.0,89,NULL,NULL,18
15-869,"Roulade, spinach",Recipe from dietary survey records,DR,Updated 2014,68.6,10.1,13.3,4.5,182,758,2.7,2.0,0.1,NULL,0.1,0.2,0.0,1.6,NULL,1.1,NULL,7.33,3.73,0.95,0.41,122.6,269,219,255,29,182,1.34,0.03,1.4,338,0.28,8,32,149,1856,1.0,1.36,NULL,0.07,0.27,0.5,2.7,0.11,1.4,51,0.64,7.1,4
11-1111,"Rum baba, homemade",Recipe,AP,Updated 2014,53.5,3.7,7.7,33.1,222,935,13.3,19.7,0.01,NULL,0.01,19.7,0.0,0.01,2.0,0.9,NULL,1.94,3.91,1.30,0.01,26.3,59,98,32,19,69,0.81,0.14,0.4,103,0.19,2,NULL,NULL,42,NULL,NULL,NULL,0.07,0.11,0.5,0.8,0.06,0.2,46,0.26,6.4,1
11-940,Rusks,"8 samples, 8 products",AK,Nutrient analysis of a range of processed foods with particular reference to trans fatty acids 2011,5.7,6.5,10.7,73.0,396,1674,49.6,23.4,2.3,0.01,1.4,19.7,0.01,0.01,0.0,2.1,2.4,4.59,3.83,1.77,0.01,3.4,88,240,336,29,108,6.46,0.11,0.7,150,0.60,6,2,NULL,NULL,NULL,1.38,NULL,NULL,NULL,7.4,NULL,0.01,NULL,22,0.24,0.5,0.01
15-629,"Saag, homemade","5 samples, spinach curry",DR,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",78.1,3.3,8.8,5.0,111,462,3.3,1.7,0.6,0.0,0.6,0.5,0.0,0.0,0.0,2.4,2.3,1.45,3.82,3.00,0.03,7.1,385,376,134,55,49,2.41,0.12,1.0,NULL,NULL,0.01,NULL,NULL,1557,0.0,2.86,NULL,0.03,0.20,0.2,NULL,0.01,0.0,37,NULL,NULL,4
13-852,Saffron,Literature sources,H,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",11.9,11.4,5.9,61.5,310,1298,19.1,42.4,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,150,1720,110,NULL,250,11.10,0.33,NULL,NULL,28.40,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,NULL,NULL,0
13-854,"Sage, dried, ground",Literature souces,H,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",8.0,10.6,12.7,42.7,315,1317,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,0.0,NULL,NULL,7.00,1.90,1.80,0.00,0.0,11,1070,1650,430,91,28.10,0.76,4.7,NULL,25.00,NULL,NULL,0,3540,0.0,NULL,NULL,NULL,0.34,5.7,NULL,NULL,0.0,0,NULL,NULL,0
13-853,"Sage, fresh",5 samples and calculation from dried,H,"LGC, Fruit and vegetables, 1989-1990",66.4,3.9,4.6,15.6,119,502,NULL,NULL,NULL,0.0,NULL,NULL,0.0,0.0,NULL,NULL,NULL,2.60,0.70,0.70,NULL,0.0,4,390,600,160,33,NULL,NULL,1.7,NULL,9.10,NULL,NULL,0,1290,0.0,NULL,NULL,0.11,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,0.01
11-023,"Sago, raw",2 samples from different shops,AA,"MW3, 1960. Reviewed 2014",12.6,0.2,0.2,94.0,355,1515,94.0,0.01,0.01,NULL,0.0,0.0,0.0,0.0,0.0,0.5,NULL,0.10,0.10,0.01,0.00,0.0,3,5,10,3,29,1.20,0.03,NULL,13,NULL,NULL,NULL,0,0,0.0,0.01,NULL,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0
17-703,Salad cream,"3 samples, different brands",WCG,"LGC, Dairy products and eggs, 1989; and industry data, 2013. Vitamin E from Milk Marketing Board, 1992 'Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts'.",50.1,1.5,26.7,21.2,326,1353,4.5,16.7,1.9,0.0,1.9,12.9,0.0,0.0,0.0,NULL,0.5,NULL,NULL,NULL,NULL,43.0,700,40,18,9,48,0.50,0.02,0.3,1090,0.10,NULL,11,9,17,0.2,13.58,NULL,NULL,NULL,NULL,0.3,0.03,0.5,3,NULL,NULL,0
17-704,"Salad cream, reduced fat",Label and data calculated,WCG,"Industry data, 2013;  fatty acids calculated from Fatty Acid Supplement, 1998 (17-452)",72.4,1.0,10.6,15.5,157,657,6.3,9.2,2.5,0.0,2.3,4.4,0.0,0.0,0.0,NULL,0.5,1.57,2.89,5.63,0.00,4.3,530,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2,NULL,NULL,NULL,NULL,NULL,0
15-870,"Salad, beetroot and onion in French dressing",Recipe from review of recipe collection,DR,Updated 2014,80.8,1.9,3.1,9.5,71,299,1.0,8.2,NULL,NULL,NULL,NULL,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,22,0.0,NULL,NULL,0.02,0.01,0.1,0.3,0.04,0.0,86,0.08,0.1,4
15-871,"Salad, Greek","Recipe. Salad with feta cheese, olives and olive oil. Recipe from review of recipe collection",DR,Updated 2014,80.0,2.7,12.6,1.9,131,542,0.0,1.8,0.7,NULL,0.9,0.0,0.0,0.2,0.0,0.9,NULL,3.32,7.44,0.93,NULL,9.8,209,144,62,10,55,0.32,0.04,0.2,383,0.07,1,NULL,31,178,0.1,0.90,NULL,0.03,0.04,0.3,0.6,0.08,0.2,19,0.23,NULL,27
15-648,"Salad, green","Lettuce, cucumber, pepper and celery. Recipe from review of recipe collection",DR,Updated 2013,95.4,1.0,0.4,1.6,13,57,0.0,1.6,0.7,0.01,0.9,0.0,0.0,0.0,0.0,1.1,NULL,0.04,0.01,0.08,0.00,0.0,8,172,19,9,22,0.29,0.03,0.1,60,0.11,0.01,2,0,123,0.0,0.42,NULL,0.05,0.02,0.3,0.1,0.10,0.0,32,0.22,NULL,35
15-872,"Salad, pasta, vegetables and mayonnaise",Recipe from dietary survey records,DR,Updated 2014,70.4,3.7,7.9,17.5,150,632,15.4,1.9,0.4,NULL,0.5,1.0,0.01,0.01,NULL,1.4,NULL,0.76,4.43,2.14,0.01,NULL,22,98,24,13,53,0.65,0.01,0.4,86,0.18,2,5,11,1903,0.0,2.30,NULL,0.11,0.04,0.5,0.7,0.08,0.0,16,0.28,NULL,21
15-873,"Salad, potato, with French dressing",Recipe from review of recipe collection,DR,Updated 2014,76.0,1.5,5.0,15.8,111,467,13.7,2.1,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.9,1.5,NULL,NULL,NULL,NULL,0.0,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,50,0.0,NULL,NULL,0.17,0.01,0.4,0.3,0.05,0.0,17,0.34,0.3,9
15-874,"Salad, potato, with mayonnaise",Recipe from review of recipe collection,DR,Updated 2014,63.2,1.6,20.6,12.7,239,991,11.1,1.5,0.4,NULL,0.4,0.7,0.01,0.01,NULL,0.8,1.2,1.57,12.47,5.47,0.01,15.7,37,258,8,13,24,0.37,0.04,0.2,144,0.09,0,3,28,43,0.01,6.09,NULL,0.15,0.03,0.4,0.3,0.07,0.1,17,0.33,0.4,8
15-654,"Salad, potato, with mayonnaise, retail",Recipe from manufacturers,DR,"Vegetable Dishes Supplement, 1992; and industry data, 2013",73.2,1.5,11.8,12.3,158,658,10.4,1.9,0.4,0.0,0.2,1.3,0.0,0.0,0.0,0.8,1.2,NULL,NULL,NULL,NULL,NULL,160,180,6,9,29,0.40,0.05,0.2,290,0.10,NULL,14,NULL,NULL,0.1,NULL,NULL,0.12,0.03,0.3,0.4,0.21,NULL,18,NULL,NULL,4
15-875,"Salad, rice, brown","Recipe. Rice, vegetables, nut and raisin. Recipe from dietary survey records",DR,Updated 2014,65.6,3.5,7.3,21.6,160,674,16.6,5.0,2.0,NULL,1.9,1.1,0.01,0.0,NULL,1.2,NULL,0.85,4.07,1.95,0.01,0.1,170,179,21,44,106,1.19,0.17,0.8,275,0.63,NULL,NULL,0,129,0.0,1.19,NULL,0.12,0.02,1.5,1.0,0.10,0.0,22,0.16,NULL,13
15-649,"Salad, rice, homemade","Rice, vegetables, nut and raisin. Recipe from dietary survey records",DR,Updated 2013,65.6,3.1,7.0,24.5,168,706,19.6,4.9,2.0,0.01,1.9,1.0,0.01,0.0,0.0,0.8,NULL,1.04,2.25,3.36,0.01,0.0,171,156,22,22,60,0.94,0.17,0.6,303,0.28,5,NULL,0,129,0.0,2.32,NULL,0.09,0.02,0.8,0.7,0.10,0.0,22,0.13,0.9,13
15-876,"Salad, tomato and onion",Recipe from review of recipe collection,DR,Updated 2014,90.1,0.6,2.7,4.9,45,190,0.4,4.1,NULL,NULL,NULL,NULL,0.0,0.0,0.0,NULL,1.3,NULL,NULL,NULL,NULL,0.0,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,238,0.0,NULL,NULL,0.05,0.01,0.5,0.1,0.06,0.0,18,0.21,1.2,16
15-878,"Salad, Waldorf","Recipe. Apple, walnut and celery with mayonnaise. Recipe from review of recipe collection",DR,Updated 2014,70.4,1.5,17.8,7.9,196,811,0.01,7.9,1.4,NULL,4.3,2.2,0.01,0.01,NULL,1.1,NULL,1.53,8.74,6.54,0.01,10.1,31,131,14,13,32,0.31,0.10,0.2,102,0.25,1,NULL,14,15,0.01,4.22,NULL,0.06,0.05,0.2,0.2,0.11,0.1,8,0.24,2.0,6
15-294,"Salad, wholemeal pasta, with vegetables and mayonnaise",Recipe from dietary survey records,DR,As Vegetable Dishes Supplement 1992,73.1,3.1,7.5,13.8,131,519,11.1,2.6,0.7,0.0,0.6,0.9,0.2,0.0,NULL,2.7,NULL,1.10,1.60,4.30,NULL,6.0,73,140,16,24,69,1.10,0.10,0.7,120,0.50,NULL,NULL,7,1365,0.01,1.95,NULL,0.14,0.03,0.8,0.6,0.12,0.01,17,NULL,NULL,21
19-517,Salami,"22 samples including Danish, French, German and Italian. 90-100% meat",MI,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",33.7,20.9,39.2,0.5,438,1814,0.01,0.5,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.4,14.60,17.70,4.40,0.15,83.0,1530,320,11,18,170,1.30,0.12,3.0,2780,0.04,7,15,0.01,0.01,NULL,0.23,1.11,0.60,0.23,5.6,2.8,0.36,2.0,3,1.66,7.0,NULL
19-508,Salami snack,Including Peperami and own brand equivalents,MI,"Industry data, 2013",23.5,25.1,44.0,1.9,504,2085,0.01,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,NULL,0.5,16.79,19.89,4.39,0.25,NULL,1600,330,11,19,180,2.20,0.11,3.9,2380,0.18,NULL,NULL,0.01,0.01,NULL,1.77,NULL,0.27,0.16,5.5,2.2,0.27,2.0,1,1.19,6.0,NULL
19-625,"Salmis of pheasant, homemade",Recipe,MR,Updated 2014,79.7,9.9,5.6,2.4,106,444,0.9,1.4,0.4,NULL,0.4,0.6,0.0,NULL,0.9,0.4,NULL,NULL,NULL,NULL,NULL,75.3,219,168,17,12,82,0.91,0.05,0.5,NULL,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03,0.11,3.3,2.1,0.22,1.0,8,0.38,NULL,4
16-453,"Salmon en croute, retail",Calculated from manufacturers' proportions,JR,"Reviewed 2013. Fish and Fish Products Supplement, 1993",49.3,11.8,19.1,18.0,288,1202,17.1,0.9,0.1,NULL,0.01,0.1,0.5,0.2,0.0,NULL,NULL,NULL,NULL,NULL,NULL,31.0,190,200,47,18,140,0.60,0.08,0.5,320,0.13,NULL,NULL,30,13,3.4,NULL,NULL,0.13,0.07,2.5,2.3,0.31,2.0,12,NULL,NULL,0.01
16-359,"Salmon, farmed, flesh only, baked","10 samples, fresh fillets",J,"Direct Laboratories, Nutrient analysis catch up project, 2003",59.7,25.2,14.6,0.0,232,969,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.76,5.78,3.89,0.01,67.2,49,412,11,30,262,0.45,0.05,0.6,86,0.05,20,14,17,0.01,7.3,3.70,NULL,0.26,0.09,8.6,4.2,0.14,2.5,8,1.50,3.0,0.01
16-357,"Salmon, farmed, flesh only, grilled","10 samples, fresh fillets",J,"Direct Laboratories, Nutrient analysis catch up project, 2003",60.4,24.6,15.6,0.0,239,995,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.95,6.18,4.16,0.01,71.8,49,412,11,30,262,0.45,0.05,0.6,86,0.05,20,14,18,0.01,7.8,3.94,NULL,0.21,0.10,8.6,4.2,0.16,3.4,9,1.50,2.4,0.01
16-484,"Salmon, farmed, flesh only, grilled, weighed with bones and skin",Calculated from 16-357 using edible conversion factor of 0.87,JC,"Direct Laboratories, Nutrient analysis catch up project, 2003",52.5,21.4,13.6,0.0,208,867,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.01,0.01,2.57,5.38,3.62,0.01,62.5,43,358,9,26,228,0.39,0.04,0.5,75,0.04,17,12,16,0.01,6.8,3.43,NULL,0.18,0.09,7.5,3.6,0.14,3.0,8,1.31,2.1,0.01
16-356,"Salmon, farmed, flesh only, raw","10 samples, fresh fillets",J,"Direct Laboratories, Nutrient analysis catch up project, 2003",65.5,20.4,15.0,0.0,217,902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.2,2.77,6.00,4.06,0.01,67.5,43,357,10,26,226,0.33,0.05,0.4,59,0.09,18,12,16,1,4.7,3.95,NULL,0.45,0.07,7.7,3.4,0.21,4.4,5,1.20,1.0,0.01
16-358,"Salmon, farmed, flesh only, steamed","10 samples, fresh fillets",J,"Direct Laboratories, Nutrient analysis catch up project, 2003",58.9,23.6,18.5,0.0,261,1086,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.01,0.01,3.50,7.33,4.93,0.01,85.2,51,425,11,31,269,0.39,0.06,0.5,70,0.11,21,14,21,0.01,9.3,4.70,NULL,0.21,0.08,7.7,4.5,0.17,2.1,6,1.30,2.3,0.01
16-483,"Salmon, farmed, flesh only, steamed, fillets weighed with bones and skin",Calculated from 16-358 using edible conversion factor of 0.87,JC,"Direct Laboratories, Nutrient analysis catch up project, 2003",51.2,20.5,16.1,0.0,227,944,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.01,0.01,3.04,6.38,4.29,0.01,74.1,45,370,10,27,234,0.34,0.05,0.5,61,0.09,18,12,21,0.01,9.3,4.70,NULL,0.21,0.08,7.7,4.5,0.17,2.1,6,1.30,2.3,0.01
16-420,"Salmon, pink, canned in brine, drained","9 samples, 7 products, large bones removed. Includes skin and some bones",JC,"DH, Nutrient analysis of fish and fish products, 2013",71.4,23.6,4.8,0.0,138,579,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,1.72,1.45,0.01,61.0,352,326,109,25,234,0.83,0.07,0.7,500,0.01,34,18,12,0.01,13.6,0.76,NULL,0.02,0.21,7.4,6.0,0.19,4.7,19,0.68,4.9,0.01
16-418,"Salmon, red, canned in brine, drained","10 samples, 10 products, large bones removed. Includes skin and some bones",JC,"DH, Nutrient analysis of fish and fish products, 2013",66.5,23.5,7.3,0.0,160,670,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,0.0,1.43,3.02,1.80,0.01,62.0,430,305,164,29,291,0.68,0.06,0.8,670,0.02,37,22,7,0.01,10.9,1.65,NULL,0.03,0.21,7.6,6.1,0.20,4.9,14,0.88,4.1,0.01
16-419,"Salmon, red, canned in brine, skinless and boneless, drained","4 samples, 3 products",JC,"DH, Nutrient analysis of fish and fish products, 2013",68.5,23.2,6.7,0.0,153,642,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,0.0,1.28,2.76,1.65,0.01,61.0,379,304,6,27,214,0.60,0.07,0.5,580,0.01,38,24,10,0.01,11.8,1.47,NULL,0.04,0.22,6.9,6.1,0.23,4.5,12,0.82,4.9,0.01
16-412,"Salmon, smoked (cold-smoked)","11 samples, 11 products. Salmon that is cured using salt and then smoked at low temperature; most smoked salmon is cold-smoked",JC,"DH, Nutrient analysis of fish and fish products, 2013",64.5,22.8,10.1,0.5,184,769,0.0,0.5,0.01,0.0,0.01,0.01,0.5,0.0,0.0,0.0,0.0,2.15,3.11,2.84,0.01,45.0,1184,442,8,31,266,0.23,0.02,0.4,1480,0.01,19,9,28,0.01,8.9,2.03,NULL,0.43,0.12,8.3,5.4,0.73,3.2,15,1.22,5.2,0.01
16-413,"Salmon, smoked (hot-smoked)","7 samples, 7 products. Salmon that has been smoked over heat, flesh only",JC,"DH, Nutrient analysis of fish and fish products, 2013",60.1,25.4,8.8,1.3,186,778,0.0,1.3,0.01,0.0,0.01,0.8,0.4,0.0,0.0,0.0,0.0,1.94,2.63,2.92,0.01,72.0,848,460,8,32,293,0.34,0.05,0.5,1200,0.01,24,9,28,0.01,11.0,2.29,NULL,0.41,0.16,9.5,6.5,0.51,4.2,14,1.35,4.0,0.01
16-485,"Salmon, wild, baked",Calculated from 16-360 using 16.7% weight loss,JC,"Direct Laboratories, Nutrient analysis catch up project, 2003",61.0,26.5,12.1,0.0,215,898,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,4.86,3.00,0.00,61.1,58,458,18,35,300,0.61,0.08,0.6,100,0.01,32,15,32,0.01,10.3,1.33,NULL,0.16,0.10,9.4,3.5,0.17,7.0,1,1.25,2.3,0.01
16-360,"Salmon, wild, flesh only, raw","10 samples, fresh steaks",J,"Direct Laboratories, Nutrient analysis catch up project, 2003",67.5,22.1,10.1,0.0,179,749,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,4.05,2.50,0.00,50.9,48,382,15,29,250,0.51,0.07,0.5,83,0.01,27,12,27,0.01,8.6,1.11,NULL,0.19,0.10,9.8,2.9,0.16,6.5,1,1.30,2.1,0.01
16-486,"Salmon, wild, grilled",Calculated from 16-360 using 14.6% weight loss,JC,"Direct Laboratories, Nutrient analysis catch up project, 2003",61.9,25.9,11.8,0.0,210,877,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,4.75,2.93,0.00,59.7,56,448,18,34,293,0.60,0.08,0.6,97,0.01,32,14,32,0.01,10.1,1.30,NULL,0.20,0.12,10.3,3.4,0.17,7.6,1,1.45,2.5,0.01
16-487,"Salmon, wild, steamed",Calculated from 16-360 using 12.7% weight loss,JC,"Direct Laboratories, Nutrient analysis catch up project, 2003",62.8,25.3,11.6,0.0,206,859,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,4.64,2.86,0.00,58.3,55,437,17,34,286,0.58,0.08,0.6,95,0.01,31,14,31,0.01,9.8,1.27,NULL,0.20,0.11,10.1,3.4,0.18,7.4,1,1.19,2.2,0.01
13-601,"Salsify, flesh only, boiled in unsalted water","Ends ttrimmed, boiled 22 minutes, based on boiled in salted water",DG,"IIFR, The nutritional composition of retail vegetables in the UK, 1984-1987",84.3,1.1,0.4,8.6,23,99,2.7,1.4,0.01,0.0,0.1,1.3,0.0,0.0,0.0,3.5,NULL,NULL,NULL,NULL,0.00,0.0,5,200,38,16,33,0.70,0.01,0.3,35,NULL,NULL,NULL,0,20,0.0,NULL,NULL,0.04,0.01,0.2,0.2,0.05,0.0,25,NULL,NULL,1
